"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 06, 2018","16.23","15.80","16.48","14.50","250.50K","0.25%"
"Dec 04, 2018","16.19","16.00","16.47","15.42","271.75K","1.19%"
"Dec 03, 2018","16.00","16.21","16.21","15.18","349.60K","1.46%"
"Nov 30, 2018","15.77","14.84","15.98","14.36","387.90K","6.70%"
"Nov 29, 2018","14.78","14.80","15.15","14.56","143.54K","-0.20%"
"Nov 28, 2018","14.81","14.67","14.84","14.15","126.73K","1.72%"
"Nov 27, 2018","14.56","14.63","15.05","14.46","199.69K","-2.74%"
"Nov 26, 2018","14.97","15.33","15.37","14.25","140.88K","-1.64%"
"Nov 23, 2018","15.22","14.04","15.50","13.87","92.89K","7.79%"
"Nov 21, 2018","14.12","14.61","14.81","13.73","204.96K","-1.05%"
"Nov 20, 2018","14.27","16.39","16.80","14.19","551.56K","-14.65%"
"Nov 19, 2018","16.72","16.52","16.79","15.82","337.49K","0.12%"
"Nov 16, 2018","16.70","14.67","16.78","14.55","689.27K","13.84%"
"Nov 15, 2018","14.67","12.75","14.77","12.75","387.05K","12.93%"
"Nov 14, 2018","12.99","12.32","13.39","12.32","276.28K","6.04%"
"Nov 13, 2018","12.25","11.62","12.27","11.27","570.02K","5.79%"
"Nov 12, 2018","11.58","12.01","12.41","11.31","502.77K","-3.26%"
"Nov 09, 2018","11.97","12.25","14.04","11.56","356.63K","-2.84%"
"Nov 08, 2018","12.32","13.62","13.62","12.20","419.71K","-10.72%"
"Nov 07, 2018","13.80","13.75","14.37","13.34","292.91K","-0.07%"
"Nov 06, 2018","13.81","14.13","14.50","13.46","415.24K","-2.68%"
"Nov 05, 2018","14.19","15.04","15.20","14.09","159.60K","-5.90%"
"Nov 02, 2018","15.08","14.74","15.33","14.55","165.03K","2.59%"
"Nov 01, 2018","14.70","14.36","15.10","14.36","315.13K","2.65%"
"Oct 31, 2018","14.32","14.91","15.13","13.99","374.13K","-2.45%"
"Oct 30, 2018","14.68","15.71","16.04","14.41","254.27K","-7.44%"
"Oct 29, 2018","15.86","16.34","16.63","15.36","280.24K","-2.16%"
"Oct 26, 2018","16.21","16.21","16.60","15.14","296.54K","-1.58%"
